ID,File Name,Group,File Extension,File Path
MIMU_FILE_014,Myanmar PCodes Release 9.5 Feb 2024 Ayeyarwady.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Ayeyarwady.zip
MIMU_FILE_015,Myanmar PCodes Release 9.5 Feb 2024 Bago.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Bago.zip
MIMU_FILE_016,Myanmar PCodes Release 9.5 Feb 2024 Chin.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Chin.zip
MIMU_FILE_017,Myanmar PCodes Release 9.5 Feb 2024 Countrywide.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Countrywide.zip
MIMU_FILE_018,Myanmar PCodes Release 9.5 Feb 2024 CountrywideVillages only.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_CountrywideVillages_only.zip
MIMU_FILE_019,Myanmar PCodes Release 9.5 Feb 2024 Kachin.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Kachin.zip
MIMU_FILE_020,Myanmar PCodes Release 9.5 Feb 2024 Kayah.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Kayah.zip
MIMU_FILE_021,Myanmar PCodes Release 9.5 Feb 2024 Kayin.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Kayin.zip
MIMU_FILE_022,Myanmar PCodes Release 9.5 Feb 2024 Magway.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Magway.zip
MIMU_FILE_023,Myanmar PCodes Release 9.5 Feb 2024 Mandalay.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Mandalay.zip
MIMU_FILE_024,Myanmar PCodes Release 9.5 Feb 2024 Mon.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Mon.zip
MIMU_FILE_025,Myanmar PCodes Release 9.5 Feb 2024 Nay Pyi Taw.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Nay_Pyi_Taw.zip
MIMU_FILE_026,Myanmar PCodes Release 9.5 Feb 2024 Rakhine.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Rakhine.zip
MIMU_FILE_027,Myanmar PCodes Release 9.5 Feb 2024 Sagaing.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Sagaing.zip
MIMU_FILE_028,Myanmar PCodes Release 9.5 Feb 2024 Shan.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Shan.zip
MIMU_FILE_029,Myanmar PCodes Release 9.5 Feb 2024 StRgn Dist Tsp Town Ward VT.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_StRgn_Dist_Tsp_Town_Ward_VT.zip
MIMU_FILE_030,Myanmar PCodes Release 9.5 Feb 2024 Tanintharyi.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Tanintharyi.zip
MIMU_FILE_031,Myanmar PCodes Release 9.5 Feb 2024 Yangon.zip,Myanmar_PCodes_Release_9.5,ZIP,https://themimu.info/sites/themimu.info/files/documents/Myanmar_PCodes_Release_9.5_Feb2024_Yangon.zip
MIMU_FILE_008,MIMU1136v09 8 Feb 24 Status of villages with GPS coordinates A3.pdf,Status_of_villages_with_GPS_coordinates,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU1136v09_8_Feb_24_Status_of_villages_with_GPS_coordinates_A3.pdf
MIMU_FILE_010,Status of villages with GPS coordinates MIMU1136v09 Feb2024 A3.pdf,Status_of_villages_with_GPS_coordinates,PDF,https://themimu.info/sites/themimu.info/files/documents/Status_of_villages_with_GPS_coordinates_MIMU1136v09_Feb2024_A3.pdf
MIMU_FILE_009,Pcodes Read Me 9.2 20Mar2020.pdf,Pcodes_Read_Me,PDF,https://themimu.info/sites/themimu.info/files/documents/Pcodes_Read_Me_9.2_20Mar2020.pdf
MIMU_FILE_032,PCoder 9.5.zip,PCoder,ZIP,https://themimu.info/sites/themimu.info/files/documents/PCoder_9.5.zip
MIMU_FILE_004,MIMU PCodesMajorChangesbetweenVersion9.4and9.5 13Feb24.pdf,MIMU_PCodesMajorChanges,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCodesMajorChangesbetweenVersion9.4and9.5_13Feb24.pdf
MIMU_FILE_005,MIMU PCodesMajorChangesbetweenVersionV9.2and9.3 2Feb2020.pdf,MIMU_PCodesMajorChanges,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCodesMajorChangesbetweenVersionV9.2and9.3_2Feb2020.pdf
MIMU_FILE_006,MIMU PCodesMajorChangesbetweenVersionV9.3and9.4 09May2023.pdf,MIMU_PCodesMajorChanges,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCodesMajorChangesbetweenVersionV9.3and9.4_09May2023.pdf
MIMU_FILE_007,MIMU PCodesMajorChangesbetweenVersionV9and9.1 24Jan2020 0.pdf,MIMU_PCodesMajorChanges,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCodesMajorChangesbetweenVersionV9and9.1_24Jan2020_0.pdf
MIMU_FILE_002,MIMU Pcoder Guildeline 12 Mar 2021 Eng.pdf,MIMU_Pcoder_Guildeline,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_Pcoder_Guildeline_12Mar2021_Eng.pdf
MIMU_FILE_003,MIMU Pcoder Guildeline 12 Mar 2021 MMR.pdf,MIMU_Pcoder_Guildeline,PDF,https://themimu.info/sites/themimu.info/files/documents/MIMU_Pcoder_Guildeline_12Mar2021_MMR.pdf
MIMU_FILE_011,MIMU PCode ChangeHistory Version9.2 to Version9.3 23Jan2021.xlsx,MIMU_PCode_ChangeHistory,XLSX,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCode_ChangeHistory_Version9.2_to_Version9.3_23Jan2021.xlsx
MIMU_FILE_012,MIMU PCode ChangeHistory Version9.3 to Version9.4 04May2023.xlsx,MIMU_PCode_ChangeHistory,XLSX,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCode_ChangeHistory_Version9.3_to_Version9.4_04May2023.xlsx
MIMU_FILE_013,MIMU PCode ChangeHistory Version9.4 to Version9.5 13Feb2024.xlsx,MIMU_PCode_ChangeHistory,XLSX,https://themimu.info/sites/themimu.info/files/documents/MIMU_PCode_ChangeHistory_Version9.4_to_Version9.5_13Feb2024.xlsx
MIMU_FILE_001,Administrative Structure 2008 Constitution 20 Mar 2020.pdf,Administrative_Structure,PDF,https://themimu.info/sites/themimu.info/files/documents/Administrative_Structure_2008Constitution_20Mar2020.pdf
