id,commands,digital_ocean,kinsta,geeks_for_geeks,hostinger
1,./,FALSE,TRUE,FALSE,FALSE
2,alias,TRUE,TRUE,FALSE,TRUE
3,apt,TRUE,TRUE,FALSE,TRUE
4,awk,FALSE,FALSE,FALSE,TRUE
5,cal,TRUE,FALSE,TRUE,TRUE
6,cat,TRUE,TRUE,TRUE,TRUE
7,cd,TRUE,TRUE,TRUE,TRUE
8,chmod,TRUE,TRUE,FALSE,TRUE
9,chown,TRUE,FALSE,FALSE,TRUE
10,clear,TRUE,FALSE,TRUE,FALSE
11,cmp,TRUE,FALSE,FALSE,FALSE
12,comm,TRUE,FALSE,FALSE,FALSE
13,cp,TRUE,TRUE,TRUE,TRUE
14,cURL,FALSE,FALSE,FALSE,TRUE
15,cut,FALSE,FALSE,FALSE,TRUE
16,dd,TRUE,FALSE,FALSE,FALSE
17,df,TRUE,FALSE,TRUE,TRUE
18,diff,TRUE,FALSE,FALSE,TRUE
19,dig,FALSE,FALSE,FALSE,TRUE
20,dnf,FALSE,FALSE,FALSE,TRUE
21,du,FALSE,FALSE,FALSE,TRUE
22,echo,TRUE,TRUE,TRUE,TRUE
23,exit,FALSE,TRUE,FALSE,FALSE
24,export,TRUE,FALSE,FALSE,FALSE
25,file,FALSE,FALSE,FALSE,TRUE
26,find,FALSE,TRUE,FALSE,TRUE
27,grep,TRUE,TRUE,TRUE,TRUE
28,head,TRUE,TRUE,FALSE,TRUE
29,history,FALSE,TRUE,FALSE,TRUE
30,hostname,FALSE,FALSE,FALSE,TRUE
31,htop,FALSE,TRUE,FALSE,TRUE
32,ifconfig,TRUE,FALSE,FALSE,FALSE
33,ip,FALSE,FALSE,FALSE,TRUE
34,iptables,TRUE,FALSE,FALSE,FALSE
35,jed,FALSE,FALSE,FALSE,TRUE
36,jobs,FALSE,FALSE,FALSE,TRUE
37,kill,FALSE,TRUE,FALSE,TRUE
38,kill and killall,TRUE,FALSE,FALSE,FALSE
39,less,TRUE,TRUE,FALSE,FALSE
40,ln,TRUE,FALSE,TRUE,TRUE
41,locate,FALSE,FALSE,TRUE,TRUE
42,ls,TRUE,TRUE,TRUE,TRUE
43,man,TRUE,TRUE,TRUE,TRUE
44,mkdir,TRUE,TRUE,TRUE,TRUE
45,mount,TRUE,FALSE,FALSE,FALSE
46,mv,TRUE,TRUE,TRUE,TRUE
47,nano,FALSE,FALSE,FALSE,TRUE
48,neofetch,FALSE,TRUE,FALSE,FALSE
49,netstat,FALSE,FALSE,FALSE,TRUE
50,nslookup,FALSE,FALSE,FALSE,TRUE
51,pacman,TRUE,TRUE,FALSE,FALSE
52,passwd,TRUE,TRUE,FALSE,TRUE
53,ping,FALSE,TRUE,FALSE,TRUE
54,ps,TRUE,TRUE,TRUE,TRUE
55,pwd,TRUE,TRUE,TRUE,TRUE
56,rm,TRUE,TRUE,TRUE,TRUE
57,rmdir,FALSE,FALSE,TRUE,TRUE
58,rpm,TRUE,FALSE,FALSE,FALSE
59,rsync,FALSE,FALSE,FALSE,TRUE
60,scp,FALSE,FALSE,FALSE,TRUE
61,sed,FALSE,FALSE,FALSE,TRUE
62,service,TRUE,FALSE,FALSE,FALSE
63,shred,FALSE,TRUE,FALSE,FALSE
64,shutdown,FALSE,TRUE,FALSE,TRUE
65,sort,TRUE,FALSE,TRUE,TRUE
66,ssh,TRUE,FALSE,FALSE,FALSE
67,su,FALSE,FALSE,FALSE,TRUE
68,sudo,TRUE,TRUE,FALSE,TRUE
69,systemctl,FALSE,FALSE,FALSE,TRUE
70,tail,TRUE,TRUE,FALSE,TRUE
71,tar,TRUE,FALSE,FALSE,TRUE
72,tee,FALSE,FALSE,FALSE,TRUE
73,time,FALSE,FALSE,FALSE,TRUE
74,top,TRUE,FALSE,FALSE,TRUE
75,touch,TRUE,TRUE,TRUE,TRUE
76,traceroute,TRUE,FALSE,FALSE,TRUE
77,ufw,TRUE,FALSE,FALSE,FALSE
78,unalias,FALSE,TRUE,FALSE,TRUE
79,uname,TRUE,TRUE,TRUE,TRUE
80,unzip,TRUE,TRUE,FALSE,TRUE
81,useradd,TRUE,FALSE,FALSE,TRUE
82,userdel,FALSE,FALSE,FALSE,TRUE
83,usermod,TRUE,FALSE,FALSE,FALSE
84,vi,FALSE,FALSE,FALSE,TRUE
85,vim,FALSE,TRUE,FALSE,FALSE
86,watch,FALSE,FALSE,FALSE,TRUE
87,wc,FALSE,TRUE,TRUE,FALSE
88,wget,TRUE,TRUE,TRUE,TRUE
89,whatis,TRUE,TRUE,FALSE,FALSE
90,whereis,TRUE,FALSE,TRUE,FALSE
91,which,FALSE,TRUE,FALSE,FALSE
92,whoami,TRUE,TRUE,TRUE,TRUE
93,yum,TRUE,TRUE,FALSE,FALSE
94,zip,TRUE,FALSE,FALSE,TRUE
